Client;Ordernummer EDI;Refo EDI;Orderdatum;Name 1;Qty Ord;Batch;Line alfa;Stock/Inventory;Desc 1;Pack Code;Product code;Omschrijving;Product extention 1;Omschrijving verpak.;Pallet size;salescode
91;0180292793  ;                                   ;2016-10-10;                                   ;2;E70475502                               ;000010;X;G335USA (1X50GAL)/757L 1 757 LIT   ;                                   ;4NZ4D10000005D      ;G335USA (1X50GAL)/757L 1 757 LIT                  ;4NZ4D10000005D      ;997                           ;CP1;                    
A6;0180292793  ;                                   ;2019-04-08;TRANSNATIONAL BLENDERS BV          ;12;M00757                                  ;000001;0;TX Delo 1000 Marine 40 (208L M)    ;                                   ;840704DEE           ;TX Delo 1000 Marine 40 (208L M)                   ;840704DEE           ;VZ                            ;CP9;40704 096 2         
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;1;                                        ;000010;0;HAM WORKING SEAT 1230528           ;                                   ;234902              ;HAM WORKING SEAT 1230528                          ;234902              ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;90;                                        ;000020;0;SIK AUTOCOAT BT MIXING CUP 5L 40PC ;                                   ;2006364             ;SIK AUTOCOAT BT MIXING CUP 5L 40PC                ;2006364             ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;10;                                        ;000030;0;FINIXA NO EDGE BLENDING TAPE 15MM S;                                   ;2006547             ;FINIXA NO EDGE BLENDING TAPE 15MM SPT 05          ;2006547             ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;1;                                        ;000040;0;SUND BREATHING HOSE FOR SR570 R06-0;                                   ;2012067             ;SUND BREATHING HOSE FOR SR570 R06-0635            ;2012067             ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;3;                                        ;000050;0;Colad Dispenser Bottle 1000ml  4pc ;                                   ;231501              ;COLAD DISPENSER BOTTLE 1000MLß 4PC 9700           ;231501              ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;8;                                        ;000060;0;Colad HDPE Masking Film 3.8x200m 63;                                   ;233255              ;Colad HDPE Masking Film 3.8x200m 6340             ;233255              ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;8;                                        ;000070;0;COLAD TURBOMIXPROFESSIONAL 200PC 95;                                   ;235206              ;COLAD TURBOMIXPROFESSIONAL 200PC 9520200          ;235206              ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;84;                                        ;000080;0;FINIXA MASKING FILM 5X120M 12µ FOL ;                                   ;235813              ;FINIXA MASKING FILM 5X120M 12# FOL 45             ;235813              ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;24;                                        ;000090;0;Colad Spare Scraper Blades 20pc 920;                                   ;240664              ;COLAD SPARE SCRAPER BLADES 20PC 9200              ;240664              ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;1;                                        ;000100;0;COLAD HI PRESSURE HOSE10X15MM /60M ;                                   ;2014306             ;COLAD HI PRESSURE HOSE10X15MM /60M 9114           ;2014306             ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;50;                                        ;000110;0;FINIXA DISP SPRAY OVERALL WHITE XL ;                                   ;2007138             ;FINIXA DISP SPRAY OVERALL WHITE XL CSO10          ;2007138             ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;12;                                        ;000120;0;COLAD NITRIL GLOVE BLACK L 400PC 53;                                   ;2009817             ;COLAD NITRIL GLOVE BLACK L 400PC 536402           ;2009817             ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;5;                                        ;000130;0;SUND FILTER HOLDER FOR FAN UNIT SR5;                                   ;2010145             ;SUND FILTER HOLDER FOR FAN UNIT SR500             ;2010145             ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;2;                                        ;000140;0;FINIXA MIXING PADDLE 20CM REFILL 8X;                                   ;2010301             ;FINIXA MIXING PADDLE 20CM REFILL 8X250PC          ;2010301             ;NOR                           ;EUR;                    
IX;0180292793  ;                                   ;2025-02-04;EMM INTERNATIONAL BV               ;4;                                        ;000150;0;FINIXA POWERPEEL WHITE 5L PWP 05W  ;                                   ;2015283             ;FINIXA POWERPEEL WHITE 5L PWP 05W                 ;2015283             ;NOR                           ;EUR;                    
91;0180293750  ;                                   ;2016-10-21;                                   ;135;6450013                                 ;000010; ;STRUCT D5 PB ETE 100 9CM X 12CM    ;                                   ;3JOSW10000040E      ;STRUCT D5 PB ETE 100 9CM X 12CM                   ;3JOSW10000040E      ;996                           ;EUR;                    
IX;0180293750  ;0089911943                         ;2025-02-07;AKZO NOBEL CAR REFINISHES B.V.     ;120;0224344107                              ;000010;0;SIK ACLEAR LV SUPERIOR FAST EU 5L  ;                                   ;523075              ;SIK ACLEAR LV SUPERIOR FAST EU 5L                 ;523075              ;FZ                            ;EUR;                    
LE;0227127449  ;9097392931                         ;2025-01-31;(WPVP) AKZO NOBEL DECORATIVE       ;44;0234344001                              ;000010;0;CHARTEK 1709 HCA180/5.7KG/US/EU    ;                                   ;5950611             ;CHARTEK 1709 HCA180/5.7KG/US/EU                   ;5950611             ;CZ                            ;EUR;                    
LE;0227339441  ;9097368541                         ;2025-02-03;(S04P) ANGERED PRODUCTION          ;1;2334353003                              ;000010;0;RELEST I314-2619-4101 GIA302/1000LT;                                   ;5501794             ;RELEST I314-2619-4101 GIA302/1000LT               ;5501794             ;HZ                            ;IBC;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;2;2244246031                              ;000010;0;RELEST I307-7035-3250 RLA201/250KG/;                                   ;5624474             ;RELEST I307-7035-3250 RLA201/250KG/EU             ;5624474             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;12;2244233007                              ;000020;0;RELEST I307-7035-3250 RLA201/250KG/;                                   ;5624474             ;RELEST I307-7035-3250 RLA201/250KG/EU             ;5624474             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;10;2244269005                              ;000030;0;RELEST I307-7035-3250 RLA201/250KG/;                                   ;5624474             ;RELEST I307-7035-3250 RLA201/250KG/EU             ;5624474             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;4;2244165007                              ;000040;0;RELEST I307-7235-3250 RLA221/250KG/;                                   ;5899549             ;RELEST I307-7235-3250 RLA221/250KG/EU             ;5899549             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;2;2244061028                              ;000050;0;RELEST I355-0100-3200 RLA550/200KG/;                                   ;5857773             ;RELEST I355-0100-3200 RLA550/200KG/EU             ;5857773             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;2;2244061060                              ;000060;0;RELEST I355-0100-3200 RLA550/200KG/;                                   ;5857773             ;RELEST I355-0100-3200 RLA550/200KG/EU             ;5857773             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;2;2244056001                              ;000070;0;RELEST I355-0100-3200 RLA550/200KG/;                                   ;5857773             ;RELEST I355-0100-3200 RLA550/200KG/EU             ;5857773             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;6;2243278010                              ;000080;0;RELEST I373-2050-3200 RLA511/200KG/;                                   ;5506109             ;RELEST I373-2050-3200 RLA511/200KG/EU             ;5506109             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;33;2244260004                              ;000090;0;RELEST I373-3615-2125 RLA404/12.5KG;                                   ;5506079             ;RELEST I373-3615-2125 RLA404/12.5KG/EU            ;5506079             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;33;2244198058                              ;000100;0;RELEST I373-3615-2125 RLA404/12.5KG;                                   ;5506079             ;RELEST I373-3615-2125 RLA404/12.5KG/EU            ;5506079             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;99;2244296003                              ;000110;0;RELEST I373-3615-2125 RLA404/12.5KG;                                   ;5506079             ;RELEST I373-3615-2125 RLA404/12.5KG/EU            ;5506079             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;33;2244296002                              ;000120;0;RELEST I373-3615-2125 RLA404/12.5KG;                                   ;5506079             ;RELEST I373-3615-2125 RLA404/12.5KG/EU            ;5506079             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;33;2244221015                              ;000130;0;RELEST I373-3615-2125 RLA404/12.5KG;                                   ;5506079             ;RELEST I373-3615-2125 RLA404/12.5KG/EU            ;5506079             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;33;2244206007                              ;000140;0;RELEST I373-3615-2125 RLA404/12.5KG;                                   ;5506079             ;RELEST I373-3615-2125 RLA404/12.5KG/EU            ;5506079             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;33;2244331005                              ;000150;0;RELEST I373-3615-2125 RLA404/12.5KG;                                   ;5506079             ;RELEST I373-3615-2125 RLA404/12.5KG/EU            ;5506079             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;66;2244331004                              ;000160;0;RELEST I373-3615-2125 RLA404/12.5KG;                                   ;5506079             ;RELEST I373-3615-2125 RLA404/12.5KG/EU            ;5506079             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;72;2334318003                              ;000170;0;RELEST I385-3013-2042 RLA615/4.2KG/;                                   ;5506157             ;RELEST I385-3013-2042 RLA615/4.2KG/EU             ;5506157             ;FZ                            ;EUR;                    
LE;0227353131  ;                                   ;2025-02-04;(4147) AKZO NOBEL HILDEN GMBH      ;2;2244165007                              ;000180;0;RELEST I307-7235-3250 RLA221/250KG/;                                   ;5899549             ;RELEST I307-7235-3250 RLA221/250KG/EU             ;5899549             ;FZ                            ;EUR;                    
LE;0227498075  ;0089899304                         ;2025-02-04;(1391)AKZO NOBEL CAR REFINISHES B.V;345;0224325137                              ;000010;0;545 EPOXY PRIMER CONVERTER OD3001/1;                                   ;5856969             ;545 EPOXY PRIMER CONVERTER OD3001/1GLEU           ;5856969             ;FZ                            ;EUR;                    
LE;0227499083  ;9097380597                         ;2025-02-05;(G01P) FELLING PRODUCTION          ;22;2244354014                              ;000010;0;INTERBOND 201 KDL274/20L/EU        ;                                   ;5511266             ;INTERBOND 201 KDL274/20L/EU                       ;5511266             ;FZ                            ;EUR;                    
